Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HGT
364,Brian Shaw\shawbr01,PG,35,LAL,58,0,631,3.5,9.9,0.353,1.7,5,0.33,1.8,4.8,0.376,1,1.5,0.692,1.1,5.3,6.4,5.1,1.4,0.2,1.8,2.5,9.6,1.98
365,Bobby Simmons\simmobo01,SF,21,WAS,30,3,343,4.5,10,0.453,0.4,1.5,0.286,4.1,8.5,0.481,2.3,3.1,0.733,2.6,2.8,5.5,1.8,1.4,0.5,1.5,3.3,11.8,2.01
366,Dickey Simpkins\simpkdi01,PF,29,ATL,1,0,3,0,0,,0,0,,0,0,,0,0,,0,0,0,12,0,0,0,0,0,2.06
367,Brian Skinner\skinnbr01,PF,25,CLE,65,8,1107,2.9,5.3,0.543,0,0,,2.9,5.3,0.543,1.6,2.6,0.608,3,6.1,9.1,0.6,0.8,2,1.4,4.2,7.3,2.06
368,Reggie Slater\slatere01,PF,31,TOT,8,0,47,5.4,11.5,0.467,0,0,,5.4,11.5,0.467,5.4,7.7,0.7,3.8,3.1,6.9,0.8,0.8,0.8,0.8,2.3,16.1,2.01
369,Charles Smith\smithch04,SG,26,SAS,60,22,1141,5.7,13.5,0.425,1.1,4.1,0.267,4.6,9.4,0.495,1.3,2.1,0.646,1.1,3.1,4.2,2.5,1.6,1.4,1.9,3.6,13.9,1.93
370,Jabari Smith\smithja01,C,24,TOT,23,0,181,5.2,12.5,0.413,0,0.6,0,5.2,11.9,0.433,4.2,6.4,0.656,1.6,4,5.6,2.2,1.2,1.2,1,6.2,14.5,2.11
371,Joe Smith\smithjo02,C,26,MIN,72,63,1922,5.6,10.9,0.511,0,0.1,0.667,5.5,10.8,0.51,3.2,3.9,0.83,2.8,5.6,8.5,1.5,0.7,1.1,1.6,4.7,14.4,2.08
372,Leon Smith\smithle01,C,21,ATL,14,0,100,3.6,9.4,0.385,0,0,,3.6,9.4,0.385,4,6.1,0.647,3.6,7.6,11.2,1.1,1.8,0.4,1.1,4.3,11.2,2.08
373,Steve Smith\smithst01,SG,32,SAS,77,76,2211,5,11.1,0.455,1.9,4,0.472,3.2,7.1,0.445,2.6,2.9,0.878,0.7,2.4,3.1,2.5,0.9,0.2,1.8,2.6,14.6,2.01
374,Eric Snow\snower01,PG,28,PHI,61,61,2225,4.5,10.1,0.442,0,0.4,0.111,4.4,9.7,0.457,3,3.7,0.806,0.5,2.9,3.5,6.5,1.5,0.1,2.2,2.7,11.9,1.9
375,Will Solomon\solomwi01,SG,23,MEM,62,4,872,4.7,13.7,0.341,1.9,6.7,0.284,2.8,7,0.396,2,3,0.671,0.5,2.3,2.8,3.8,1.4,0.3,2.6,3.1,13.3,1.85
376,Felton Spencer\spencfe01,C,34,NYK,32,8,248,0.9,3.8,0.231,0,0,,0.9,3.8,0.231,2.5,4.8,0.515,2.3,4.9,7.3,0.4,1,1.2,1.7,10.6,4.2,2.13
377,Latrell Sprewell\sprewla01,SF,31,NYK,81,81,3326,6.2,15.4,0.404,1.6,4.4,0.36,4.6,11,0.421,3.1,3.7,0.821,0.6,2.6,3.2,3.4,1,0.2,2.4,1.7,17,1.96
378,Jerry Stackhouse\stackje01,SF,27,DET,76,76,2685,7,17.7,0.397,1.2,4,0.287,5.9,13.7,0.43,6.6,7.7,0.858,1,3.2,4.2,5.4,1,0.5,3.6,2.2,21.8,1.98
379,John Starks\starkjo01,SG,36,UTA,66,1,929,4.4,12,0.368,1.1,3.7,0.305,3.3,8.3,0.395,1.3,1.6,0.805,0.6,2.1,2.6,2.7,1.3,0,2,4.9,11.2,1.9
380,Vladimir Stepania\stepavl01,C,25,MIA,67,4,884,4.8,10.1,0.47,0,0.1,0.5,4.7,10.1,0.47,2,4.2,0.481,4.1,6.9,11,0.7,1,1.8,2.1,4.2,11.6,2.13
381,DeShawn Stevenson\stevede01,SG,20,UTA,67,23,1134,4.5,11.8,0.385,0.1,0.8,0.08,4.5,11,0.408,1.2,1.7,0.698,1.4,2.8,4.2,3.7,0.9,0.8,2.2,2.6,10.3,1.96
382,Michael Stewart\stewami01,C,26,TOR,11,0,93,3.1,8.9,0.348,0,0,,3.1,8.9,0.348,2.3,4.3,0.545,4.6,5,9.7,1.2,1.5,1.2,1.5,8.5,8.5,2.08
383,Bryant Stith\stithbr01,SG,31,CLE,50,5,665,3.8,10.2,0.372,1.3,3.7,0.353,2.5,6.5,0.383,2.4,2.8,0.846,1.1,3.5,4.6,2.3,1.6,0.3,1.6,2.3,11.3,1.96
384,John Stockton*\stockjo01,PG,39,UTA,82,82,2566,5.6,10.9,0.517,0.4,1.1,0.321,5.3,9.8,0.539,3.9,4.5,0.857,0.8,2.9,3.7,9.5,2.1,0.3,2.9,2.9,15.5,1.85
385,Peja Stojaković\stojape01,SF,24,SAC,71,71,2649,7.4,15.4,0.484,1.8,4.2,0.416,5.7,11.1,0.51,3.8,4.4,0.876,1,4.1,5.1,2.4,1.1,0.2,1.9,1.6,20.5,2.08
386,Damon Stoudamire\stoudda01,PG,28,POR,75,71,2796,4.8,11.8,0.402,1.3,3.8,0.353,3.4,8,0.425,2.2,2.5,0.888,1,2.8,3.8,6.3,0.9,0.1,1.9,2,13.1,1.78
387,Erick Strickland\stricer01,PG,28,BOS,79,4,1643,4.2,10.7,0.389,2.1,5.4,0.385,2.1,5.3,0.394,2.9,3.4,0.845,0.5,4.2,4.7,4,1.2,0,2.1,3.2,13.3,1.9
388,Mark Strickland\stricma01,SF,31,ATL,46,10,654,5,11.2,0.446,0.1,0.2,0.25,5,11,0.45,1.4,2.4,0.568,2.3,5,7.2,1.1,1,0.9,1.5,2.6,11.4,2.06
389,Rod Strickland\stricro02,PG,35,MIA,76,64,2294,5,11.2,0.443,0.1,0.4,0.308,4.8,10.8,0.448,2.4,3.2,0.766,0.8,2.9,3.6,7.3,1.3,0.2,2.5,1.8,12.5,1.9
